doctor_id,doctor_name,specialty,branch
D0001,Dr. Peter Balogun,orthopedics,Kano Care
D0002,Dr. Esther Usman,pediatrics,LAGOS CENTRAL
D0003,Dr. Ada Okafor,Orthopedics,ABUJA NORTH
D0004,Dr. Chinedu Uche,Emergency Medicine,Abuja North
D0005,Dr. Ibrahim Sani,Cardiology,
D0006,Dr. Blessing Bello,Pediatrics,Lagos Central
D0007,Dr. Grace Ojo,,PORT HARCOURT MAIN
D0008,Dr. Tunde Sani,pediatrics,Kano Care
D0009,Dr. Musa Nwosu,orthopedics,ABUJA NORTH
D0010,Dr. Sarah Ojo,Radiology,Ibadan West
D0011,Dr. Ngozi Adewale,Emergency Medicine,Kano Care
D0012,Dr. Chinedu Ibrahim,cardiology,Kano Care
D0013,Dr. Bola Ojo,Radiology,Enugu East
D0014,Dr. John Onyeka,Neurology,LAGOS CENTRAL
D0015,Dr. Mary Eze,General Medicine,LAGOS CENTRAL
D0016,Dr. Ngozi Garba,dermatology,ABUJA NORTH
D0017,Dr. Mary Ojo,Dermatology,Port Harcourt Main
D0018,Dr. Victor Eze,pediatrics,Abuja North
D0019,Dr. Ngozi Ogunleye,Orthopedics,Ibadan West
D0020,Dr. Amaka Chukwu,,Kano Care
D0021,Dr. Abdul Musa,Radiology,Ibadan West
D0022,Dr. Amaka Usman,orthopedics,Lagos Central
D0023,Dr. Ibrahim Garba,General Medicine,ABUJA NORTH
D0024,Dr. Sarah Bello,pediatrics,
D0025,Dr. Kemi Musa,dermatology,Kano Care
D0026,Dr. Mary Ojo,orthopedics,PORT HARCOURT MAIN
D0027,Dr. Chinedu Adeyemi,Family Medicine,ABUJA NORTH
D0028,Dr. Musa Nwosu,Radiology,Lagos Central
D0029,Dr. Fatima Nwosu,cardiology,ABUJA NORTH
D0030,Dr. Chinedu Usman,general medicine,
D0031,Dr. Blessing Adewale,Emergency Medicine,
D0032,Dr. David Ojo,Cardiology,
D0033,Dr. John Ogunleye,orthopedics,PORT HARCOURT MAIN
D0034,Dr. Ngozi Garba,pediatrics,Kano Care
D0035,Dr. Fatima Bello,,Enugu East
D0036,Dr. Ada Sani,Emergency Medicine,Kano Care
D0037,Dr. Samuel Okafor,general medicine,
D0038,Dr. Chinedu Adewale,Neurology,
D0039,Dr. Mary Chukwu,cardiology,LAGOS CENTRAL
